"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9P7DJGFN","journalArticle","2010","Bowers, Alex J.","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","Practical Assessment, Research & Evaluation","","1531-7714","","","School personnel currently lack an effective method to pattern and visually interpret disaggregated achievement data collected on students as a means to help inform decision making. This study, through the examination of longitudinal K-12 teacher assigned grading histories for entire cohorts of students from a school district (n=188), demonstrates a novel application of hierarchical cluster analysis and pattern visualization in which all data points collected on every student in a cohort can be patterned, visualized and interpreted to aid in data driven decision making by teachers and administrators. Additionally, as a proof-of-concept study, overall schooling outcomes, such as student dropout or taking a college entrance exam, are identified from the data patterns and compared to past methods of dropout identification as one example of the usefulness of the method. Hierarchical cluster analysis correctly identified over 80% of the students who dropped out using the entire student grade history patterns from either K-12 or K-8. (Contains 5 figures.)","2010-05","2017-09-14 16:00:40","2017-09-14 16:00:40","2014-09-24 19:31:29","","","7","15","","","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students","","","","","","","en","","","","","ERIC","","","<p>NOTE:</p> <p> </p> <p>There are two types of clustering, supervised and unsupervised. Supervised clustering begins with a defined set of assumptions about the categorization of the data, while unsupervised clustering assumes nothing about the categorization and is designed to statistically discover the underlying structure patterns within the dataset (Kohonen, 1997)</p> <p>Past methods of identifying students who may drop out of school have been overly reliant on regression analysis, which inherently aggregates data to the overall means within the dataset.</p> <p>Rather than collect different types of data, the results of this study suggests that through the use of these types of pattern analysis and visualization techniques, data that we currently collect in schools but often ignore can be repurposed for 3DM and examined longitudinally to aid in identifying early which students are most challenged by school.</p> <p>HCA is in stark contrast to regression analyses that aggregate data and report overall parameter estimates. Much like a medical x-ray, the clustergram provides a unique way to “look inside” each student’s entire history of achievement, and examine that history in context with other students who have performed in a similar manner through pattern analysis.</p>","","http://eric.ed.gov/?id=EJ933686","","data; data analysis; Decision Making; Dropouts; Elementary School Students; Grades (Scholastic); Identification; MULTIVARIATE analysis; School Districts; Secondary School Students","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3RTI8TI","journalArticle","2014","Grunspan, Daniel Z.; Wiggins, Benjamin L.; Goodreau, Steven M.","Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research","CBE-Life Sciences Education","",", 1931-7913","10.1187/cbe.13-08-0162","http://www.lifescied.org/content/13/2/167","Social interactions between students are a major and underexplored part of undergraduate education. Understanding how learning relationships form in undergraduate classrooms, as well as the impacts these relationships have on learning outcomes, can inform educators in unique ways and improve educational reform. Social network analysis (SNA) provides the necessary tool kit for investigating questions involving relational data. We introduce basic concepts in SNA, along with methods for data collection, data processing, and data analysis, using a previously collected example study on an undergraduate biology classroom as a tutorial. We conduct descriptive analyses of the structure of the network of costudying relationships. We explore generative processes that create observed study networks between students and also test for an association between network position and success on exams. We also cover practical issues, such as the unique aspects of human subjects review for network studies. Our aims are to convince readers that using SNA in classroom environments allows rich and informative analyses to take place and to provide some initial tools for doing so, in the process inspiring future educational studies incorporating relational data.","2014-06-20","2017-09-14 16:00:41","2017-09-14 16:00:41","2014-08-20 20:21:46","167-178","","2","13","","CBE Life Sci Educ","Understanding Classrooms through Social Network Analysis","","","","","","","en","","","","","www.lifescied.org","","","<p>NOTE:</p> <p>Nodes within a network also have their own set of measurements. These include the exogenously defined attributes with which we are generally familiar (e.g., age, race, major), but they also include measures of position of nodes in the network.</p> <p>Several ways of measuring centrality have been proposed, including degree (Nieminen, 1974), closeness (Sabidussi, 1966), betweenness (Freeman, 1977), and eigenvector centrality (Bonacich, 1987)</p> <p>Degree centrality represents the total number of connections a node has. In networks in which relations are directional, this includes measures ofindegree and outdegree, or the number of edges pointing to or away from an actor, respectively.</p> <p>If one were to look at an airport network (airports connected by flights), airports serving as main hubs, such as Chicago O’Hare and London Heathrow, would have high betweenness, as they connect many cities with no direct flights between them.</p> <p>Closeness centrality focuses on how close one actor is to other actors on average, measured along geodesics. It is important to keep in mind that closeness centrality is poorly suited for disconnected networks (networks in which many actors have zero ties or groups of actors have no connection to other groups).</p> <p>Eigenvector centrality places importance on being connected to other well-connected individuals; having well-connected neighbors gives a higher eigenvector centrality than having the same number of neighbors who are less well connected.</p>","","http://www.lifescied.org/content/13/2/167","Week 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MK2B9GYN","blogPost","2014","Young, Jeffrey R.","Why Students Should Own Their Educational Data","The Chronicle of Higher Education Blogs: Wired Campus","","","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","2014-08-21","2017-09-14 16:00:41","2017-09-14 16:00:41","2014-08-23 21:32:22","","","","","","","","","","","","","","","","","","","","","","<p>NOTE:</p> <ul> <li>Students, with help from a third party, should have the rights of and access to their own learning data.  The reason is that they could understand their own learning paths and take action on with their data</li> <li>Many online learning are hoarding students' data because of their business model. But the lack of transparency due to this doing makes it harder to individualize learning</li> <li>Our textbooks, lessons, tests are based on the average students and doing that people focus on averages of a group of people but not individuals.</li> <li>Learning styles are similar to aptitude tests, they are contextual could reflect only certain aspects of a person during a given specific time period. Therefore, a jagged profile of traits is better than the aggregate averages they they are applied to educational interventions.</li> </ul>","","http://chronicle.com/blogs/wiredcampus/why-students-should-own-their-educational-data/54329","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KEF63DXD","journalArticle","1994","Corbett, Albert T.; Anderson, John R.","Knowledge tracing: Modeling the acquisition of procedural knowledge","User Modeling and User-Adapted Interaction","","0924-1868, 1573-1391","10.1007/BF01099821","http://link.springer.com.ezp-prod1.hul.harvard.edu/article/10.1007/BF01099821","This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","1994-12-01","2017-09-14 16:00:41","2017-09-14 16:00:41","2013-04-21 21:21:19","253-278","","4","4","","User Model User-Adap Inter","Knowledge tracing","","","","","","","en","","","","","link.springer.com.ezp-prod1.hul.harvard.edu","","","<p><span style=""text-decoration: underline;"">NOTE:</span></p> <p>1.As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process called knowledge tracing.</p> <p>2.ACT-R theory of skill knowledge (Anderson 1993). This theory assumes a fundamental distinction between declarative knowledge and procedural knowledge. Declarative knowledge is factual or experiential. For example, the following sentence and example in the Lisp text would be encoded declaratively:</p> <p>3.Procedural knowledge, in contrast, is goal-oriented and mediates problemsolving behavior. ACT-R assumes that skill knowledge is encoded initially in declarative form through experiences such as reading. Early in practice the student solves problems by applying general procedural rules to this domain-specific knowledge. As a consequence of this early activity, domain-specific procedural knowledge is acquired. With subsequent practice, both declarative and procedural knowledge are strengthened so that performance grows more rapid and reliable. </p>","","","","Education (general); empirical validity; individual differences; intelligent tutoring systems; Learning; Management of Computing and Information Systems; mastery learning; Multimedia Information Systems; procedural knowledge; Psychology, general; student modeling; User Interfaces and Human Computer Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFGDXZ2T","conferencePaper","2012","Siemens, George; Baker, Ryan S. J. d.","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","Proceedings of the 2Nd International Conference on Learning Analytics and Knowledge","978-1-4503-1111-3","","10.1145/2330601.2330661","http://doi.acm.org/10.1145/2330601.2330661","Growing interest in data and analytics in education, teaching, and learning raises the priority for increased, high-quality research into the models, methods, technologies, and impact of analytics. Two research communities -- Educational Data Mining (EDM) and Learning Analytics and Knowledge (LAK) have developed separately to address this need. This paper argues for increased and formal communication and collaboration between these communities in order to share research, methods, and tools for data mining and analysis in the service of developing both LAK and EDM fields.","2012","2017-09-14 16:00:41","2017-09-14 16:00:41","2015-01-16 03:15:55","252–254","","","","","","Learning Analytics and Educational Data Mining","","","","","ACM","New York, NY, USA","","","","","","ACM Digital Library","","","<p>NOTE:</p> <p>1. Comparison between LAK &amp;  EDM</p> <p><strong>Discovery:</strong></p> <p>Leveraging human judgement is key; automated discovery is a tool to accomplish this goal (LAK)</p> <p>Automated discovery is key; leveraging human judgment is a tool to accomplish this goal (EDM)</p> <p><strong>Reduction &amp; Holism:</strong></p> <p>Stronger emphasis on understanding systems as wholes, in their full complexity(LAK)</p> <p>Stronger emphasis on reducing to components and analyzing individual components and relationships between them(EDM)</p> <p><strong>Origins:</strong></p> <p>LAK has stronger origins in semantic web, ""intelligent curriculum,"" outcome prediction, and systemic interventions</p> <p>EDM has strong origins in educational software and student modeling, with a siginficiant community in predicting course outcomes</p> <p><strong>Adapation &amp; Personalization:</strong></p> <p>Greater focus on informing and empowering instructors and learners(LAK)</p> <p>Greater focus on automated adaption (e.g. by the computer with no human in the loop)(EDM)</p> <p><strong>Techniques &amp; Methods:</strong></p> <p>Social network analysis, sentiment analysis, influence analytics, discourse analysis, learner success prediction, concept analysis, sensemaking models(LAK)</p> <p>Classification, clustering, Bayesian modeling, relationship mining, discovery with models, visualization(EDM)</p> <p> </p>","","","","Collaboration; educational data mining; learning analytics and knowledge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5VPNUW4","book","2015","Zheng, Alice","Evaluating Machine Learning Models","","","","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","Data science today is a lot like the Wild West: there’s endless opportunity and excitement, but also a lot of chaos and confusion. If you’re new to data science and applied machine learning, evaluating a machine-learning model can seem pretty overwhelming...","2015-09","2017-09-14 16:00:42","2017-09-14 16:00:42","2015-12-15 18:26:39","","","","","","","","","","","","O'Reily Media","Sebastopol, CA","","","","","","","","","<p><span style=""text-decoration: underline;"">NOTE:</span></p> <p><strong>Accuracy</strong><br />Accuracy simply measures how often the classifier makes the correct<br />prediction. It’s the ratio between the number of correct predictions<br />and the total number of predictions (the number of data points in<br />the test set):<br />accuracy = # correct predictions/ # total data points</p> <p><strong>Confusion Matrix</strong></p> <p>Accuracy looks easy enough. However, it makes no distinction<br />between classes; correct answers for class 0 and class 1 are treated<br />equally—sometimes this is not enough. One might want to look at<br />how many examples failed for class 0 versus class 1, because the cost<br />of misclassification might differ for the two classes, or one might<br />have a lot more test data of one class than the other. For example,<br />when a doctor makes a medical diagnosis that a patient has cancer<br />when he doesn’t (known as a false positive) has very different consequences<br />than making the call that a patient doesn’t have cancer<br />when he does (a false negative).</p> <p><strong>Log-Loss</strong><br />Log-loss, or logarithmic loss, gets into the finer details of a classifier.<br />In particular, if the raw output of the classifier is a numeric probability<br />instead of a class label of 0 or 1, then log-loss can be used. The<br />probability can be understood as a gauge of confidence. If the true<br />label is 0 but the classifier thinks it belongs to class 1 with probability<br />0.51, then even though the classifier would be making a mistake,<br />it’s a near miss because the probability is very close to the decision<br />boundary of 0.5.</p> <p><strong>AUC</strong></p> <p>it shows you howmany correct positive classifications can be gained as you allow for<br />more and more false positives. The perfect classifier that makes no<br />mistakes would hit a true positive rate of 100% immediately, without<br />incurring any false positives—this almost never happens in practice.</p> <p><strong>Precision-Recall</strong><br />Precision and recall are actually two metrics. But they are often used<br />together. Precision answers the question, “Out of the items that the<br />ranker/classifier predicted to be relevant, how many are truly relevant?”<br />Whereas, recall answers the question, “Out of all the items<br />that are truly relevant, how many are found by the ranker/classifier?”<br />Figure 2-3 contains a simple Venn diagram that illustrates precision<br />versus recall.</p> <p><strong>RMSE</strong><br />The most commonly used metric for regression tasks is RMSE<br />(root-mean-square error), also known as RMSD (root-mean-square<br />deviation). This is defined as the square root of the average squared<br />distance between the actual score and the predicted score:</p>","","http://www.oreilly.com/data/free/evaluating-machine-learning-models.csp?intcmp=il-data-free-lp-lgen_free_reports_page","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G44DVRVZ","videoRecording","2015","Educause","Why Is Measuring Learning So Difficult?","","","","","https://www.youtube.com/watch?v=_iv8A1pHNYA","Several higher education learning and assessment professionals discuss the difficulties of measuring learning.","2015-08-17","2017-09-14 16:00:42","2017-09-14 16:00:42","2016-01-17 18:50:57","","","","","","","","","","","","","","","","","","","YouTube","","","<p>NOTE:</p> <p>Learning is:</p> <p>so many different things</p> <p>multi-dimensional</p> <p>contextual</p> <p>different things to measure between subject(e.g. programing &amp; humanities)</p> <p>hard to see if we just look at the result but not the process that is constantly changing</p> <p>may not have reliable proxy indicators to measure</p> <p>about cultures in different individuals that influence their behaviors</p> <p>not always tests score, and that does not necessarily pertains to understanding</p> <p>about how to help students understand their learning and where to improve on, but not always about creating diagnostic tool</p> <p> </p>","","","","Learning; Assessment; Education; educational assessment; EDUCAUSE; Higher Education; learners; Teaching and learning","","","","","","","","","","","","","","","","","","","","","470 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGNXEYNW","webpage","2016","Weinersmith, Zach","Saturday Morning Breakfast Cereal","","","","","http://www.smbc-comics.com/index.php?id=3978","","2016-01-05","2017-09-14 16:00:42","2017-09-14 16:00:42","2016-01-18 18:17:09","","","","","","","","","","","","","","","","","","","","","","<p>NOTE:</p> <p>It is humorous but also reflects the politics around educational reformation and irreversible impact when it is messed up.</p>","","http://www.smbc-comics.com/index.php?id=3978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWF936EH","webpage","2015","RStudio","The Data Wrangling Cheatsheet","","","","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","2015-01","2017-09-14 16:00:42","2017-09-14 16:00:42","2016-01-18 18:42:27","","","","","","","","","","","","","","","","","","","","","","<p>NOTE:</p> <p>There are a couple of major clusters of data manipulative skill in the dplyr and tidyr packages:</p> <p>1. syntax:</p> <ul> <li>   view()</li> <li>   piping: %&gt;%</li> <li>   tbl_df()</li> </ul> <p>2. reshaping data:</p> <ul> <li>gather()</li> <li>separate()</li> <li>spread()</li> <li>unite()</li> <li>arrange()  * in both ascending &amp; descending order</li> <li>rename() * specify new column name before the equal sign</li> </ul> <p>3. subset observations (rows)/ variables (columns):</p> <ul> <li>filter()</li> <li>distinct()</li> <li>sample_frac()</li> <li>sample_n()</li> <li>top_n() * useful after grouping w/  group_by()</li> <li>select()</li> <li>select(data, arg2) <ul> <li>    arg2: contains(), ends_with(), everything(), matches(), num_range, one_of(), starts_with(), : * w/ two col names specifying range, - * indicate excluded col</li> </ul> </li> </ul> <p>4. summarize data:</p> <ul> <li>summarise()</li> <li>summarise_each() * apply function to each column</li> <li>count(data, column, weight) * count the num of rows with each unique value of variable (w/ or w/o weights)</li> </ul> <p>5. group data:</p> <ul> <li>group_by()</li> <li>ungroup()</li> </ul> <p>6. make new variable():</p> <ul> <li>mutate()</li> <li>mutate_each() * apply function to each column</li> <li>transmutate() * create one or more columns, dropping original column(s)</li> </ul> <p>7. combine data sets:</p> <ul> <li>left_join()</li> <li>right_join()</li> <li>inner_join()</li> <li>full_join()</li> <li>semi_join()</li> <li>anti_join()</li> <li>intersect()</li> <li>union()</li> <li>setdiff()</li> <li>bind_rows()</li> <li>bind_cols()</li> </ul>","","http://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44TPTUEZ","conferencePaper","2014","Clow, Doug","Data wranglers: human interpreters to help close the feedback loop","Proceedings of the Fourth International Conference on Learning Analytics And Knowledge","","","","","","2014","2017-09-14 16:00:42","2017-09-14 16:00:42","","49–53","","","","","","","","","","","ACM","","","","","","","","","","<p>NOTE:</p> <ul> <li>Interpreting learning data is complex and requires different academic staff/teachers to participate</li> <li>Single-loop learning: LA is used to achieve set goals</li> <li>Double-loop learning: LA is used when these goals can be interrogated, challenged, and developed</li> <li>Data wranglers play a vital role in making sense between learning data and users (school staff/teachers) to improve learning experience</li> <li>Despite the engagement of Data Wrangler, many issues could arise in the process of sense-making with LA such as communicating the data, different way of interpreting data, and standards of treating the data(human factors).</li> </ul>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
