title,topic,week
Feature Selection,Principal Component Analysis ,3
Teaching Recommender Systems at Large Scale: Evaluation and Lessons Learned from a Hybrid MOOC,Principal Component Analysis,3
Zuckerberg is ploughing billions into 'personalised learning' ??? why?,Prediction,4
Understanding Classrooms through Social Network Analysis: A Primer for Social Network Analysis in Education Research,Networks,5
Chapter 1: Social Network Data,Networks,5
Introduction to Social Network Methods:?? Chapter 1: Social Network Data,Networks,5
Learning Analytics and Educational Data Mining: Towards Communication and Collaboration,"LA, EDM and the Learning Sciences",1
Why Is Measuring Learning So Difficult?,"LA, EDM and the Learning Sciences",1
Knowledge tracing: Modeling the acquisition of procedural knowledge,Knowledge Tracing,7
Machine Beats Experts: Automatic Discovery of Skill Models for Data-Driven Online Course Refinement,Domain Structure Discovery,8
Evaluating Machine Learning Models,Diagnostic Metrics,9
Cross Validation,Diagnostic Metrics,9
Why Students Should Own Their Educational Data,Data Wrangling,2
Saturday Morning Breakfast Cereal,Data Wrangling,2
Data wranglers: human interpreters to help close the feedback loop,Data Wrangling,2
Translating Learning into Numbers: A Generic Framework for Learning Analytics,Data Wrangling,2
Big Data in Education,Clustering ,6
"Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis",Clustering,6
