ID ,QID3,QID4,QID5_TEXT,QID7,QID8,QID9_TEXT,QID10_TEXT,QID11_TEXT,QID12,QID13_TEXT,QID14_TEXT,QID16_TEXT,QID17_TEXT
STUDENT1,No,g-iff,37,1,1,2,5,2,3,34,Hanoi,NA,Vietnam
STUDENT2,No,g-iff,13,1,0,0,14,15,4,4,Seoul,Seoul,South Korea
STUDENT3,No,g-iff,14,1,0,1.1,3,25,2,5,Wellesley ,MA ,Viet Nam 
STUDENT4,No,g-iff,2,0,1,9000,4,4,4,4,Shanghai,Shanghai,China
STUDENT5,No,g-iff,1,0,1,0,5,1,4,10,Shenzhen,Guangdong,China
STUDENT6,No,g-iff,3,0,2,0.5,200,200,4,9,Jinan,Shandong,China
STUDENT7,No,g-iff,23,3,4,8,15,7,4,10,vina del mar,valparaiso,chile
STUDENT8,Yes,g-iff,2,2,0,2,15,5,4,20,Purcellville,Virginia,United States
STUDENT9,Yes,g-iff,13,1,1,0,4,0,4,20,Conway ,Arkansas,United States of America 
STUDENT10,No,g-iff,2,0,2,0,50,3,4,4,Amoy,Fujian,China
STUDENT11,Yes,g-iff,10,2,0,8.9,30,1,3,31,Tallahassee,Florida,United States
STUDENT12,Yes,g-iff,13,0,0,0,1,3,3,9,Ningbo,Zhejiang,China
STUDENT13,No,j-iff,72,0,0,1.3,2,7,1,9,shenzhen,guangdong,china
STUDENT14,No,g-iff,2,1,1,0,20,11,4,1,Delhi,Delhi,India
STUDENT15,No,g-iff,384,0,0,0.5,2,4,3,15,New York,New York,USA
STUDENT16,No,g-iff,2,0,1,1,3,10,4,7,Dongguan,Guangdong,China
STUDENT17,No,g-iff,1,2,2,0.2,5,0,4,6,Honolulu,Hawaii,USA
STUDENT18,Yes,g-iff,9,1,3,14,10,3,4,3,BEIJING,BEIJING,CHINA
STUDENT19,Yes,j-iff,64,2,0,2.6,1,5,4,22,Westport,Connecticut,The United States of America
STUDENT20,Yes,g-iff,14,3,0,8.5,14,1,4,19,Columbus,Ohio,United States
STUDENT21,Yes,g-iff,6,2,0,1,10,1,3,14,Denville,NJ,United States
STUDENT22,No,j-iff,2,1,2,60,2,5,4,20,Cornwall,New York,United States 
