"layerID","from","to","gender.from"
2,1,8,"male"
2,1,11,"male"
2,1,12,"male"
2,2,5,"male"
2,2,6,"male"
2,2,8,"male"
2,2,10,"male"
2,2,11,"male"
2,2,15,"male"
2,2,16,"male"
2,2,21,"male"
2,3,4,"male"
2,3,7,"male"
2,3,8,"male"
2,3,11,"male"
2,4,3,"male"
2,4,10,"male"
2,5,2,"male"
2,5,6,"male"
2,5,8,"male"
2,5,10,"male"
2,5,11,"male"
2,5,15,"male"
2,5,16,"male"
2,5,19,"male"
2,5,21,"male"
2,5,28,"male"
2,6,1,"male"
2,6,2,"male"
2,6,3,"male"
2,6,4,"male"
2,6,5,"male"
2,6,8,"male"
2,6,10,"male"
2,6,11,"male"
2,6,12,"male"
2,7,3,"male"
2,8,1,"male"
2,8,2,"male"
2,8,3,"male"
2,8,4,"male"
2,8,5,"male"
2,8,6,"male"
2,8,7,"male"
2,8,10,"male"
2,8,11,"male"
2,8,12,"male"
2,8,13,"male"
2,8,14,"male"
2,8,15,"male"
2,8,16,"male"
2,8,17,"male"
2,8,20,"male"
2,8,21,"male"
2,8,22,"male"
2,8,24,"male"
2,8,27,"male"
2,8,28,"male"
2,8,29,"male"
2,9,1,"male"
2,9,2,"male"
2,9,8,"male"
2,9,11,"male"
2,9,26,"male"
2,10,2,"male"
2,10,5,"male"
2,11,1,"male"
2,11,2,"male"
2,11,3,"male"
2,11,4,"male"
2,11,5,"male"
2,11,6,"male"
2,11,7,"male"
2,11,8,"male"
2,11,10,"male"
2,11,12,"male"
2,11,13,"male"
2,11,14,"male"
2,11,16,"male"
2,11,19,"male"
2,11,20,"male"
2,11,21,"male"
2,11,22,"male"
2,12,1,"female"
2,12,8,"female"
2,12,11,"female"
2,13,14,"female"
2,13,18,"female"
2,13,20,"female"
2,13,21,"female"
2,13,22,"female"
2,13,23,"female"
2,13,25,"female"
2,13,29,"female"
2,14,19,"female"
2,14,20,"female"
2,14,21,"female"
2,14,22,"female"
2,14,23,"female"
2,14,26,"female"
2,14,27,"female"
2,15,14,"female"
2,15,16,"female"
2,15,19,"female"
2,15,20,"female"
2,15,21,"female"
2,15,22,"female"
2,15,23,"female"
2,15,24,"female"
2,16,14,"female"
2,16,15,"female"
2,16,20,"female"
2,16,21,"female"
2,16,22,"female"
2,16,23,"female"
2,17,24,"female"
2,17,29,"female"
2,18,13,"female"
2,18,25,"female"
2,19,14,"female"
2,19,20,"female"
2,19,21,"female"
2,19,22,"female"
2,19,23,"female"
2,19,24,"female"
2,20,14,"female"
2,20,15,"female"
2,20,16,"female"
2,20,19,"female"
2,20,21,"female"
2,20,22,"female"
2,20,23,"female"
2,20,27,"female"
2,21,14,"female"
2,21,16,"female"
2,21,19,"female"
2,21,20,"female"
2,21,22,"female"
2,21,23,"female"
2,22,14,"female"
2,22,15,"female"
2,22,19,"female"
2,22,20,"female"
2,22,21,"female"
2,22,23,"female"
2,22,26,"female"
2,22,27,"female"
2,23,14,"female"
2,23,15,"female"
2,23,16,"female"
2,23,19,"female"
2,23,20,"female"
2,23,21,"female"
2,23,22,"female"
2,24,14,"female"
2,24,15,"female"
2,24,17,"female"
2,24,19,"female"
2,24,23,"female"
2,24,26,"female"
2,24,27,"female"
2,24,28,"female"
2,24,29,"female"
2,25,13,"female"
2,25,18,"female"
2,26,20,"female"
2,26,22,"female"
2,26,27,"female"
2,27,17,"female"
2,27,26,"female"
2,28,9,"female"
2,28,13,"female"
2,28,15,"female"
2,28,23,"female"
2,28,24,"female"
2,28,29,"female"
2,29,13,"female"
2,29,23,"female"
2,29,24,"female"
2,29,27,"female"
2,29,28,"female"
