"layerID","from","to","gender.from"
1,1,6,"male"
1,1,8,"male"
1,1,11,"male"
1,1,12,"male"
1,1,14,"male"
1,1,16,"male"
1,1,17,"male"
1,1,19,"male"
1,1,21,"male"
1,1,22,"male"
1,1,26,"male"
1,1,27,"male"
1,2,1,"male"
1,2,3,"male"
1,2,4,"male"
1,2,5,"male"
1,2,6,"male"
1,2,7,"male"
1,2,8,"male"
1,2,10,"male"
1,2,11,"male"
1,2,14,"male"
1,2,15,"male"
1,2,16,"male"
1,2,19,"male"
1,2,20,"male"
1,2,21,"male"
1,3,4,"male"
1,3,7,"male"
1,3,8,"male"
1,3,9,"male"
1,3,11,"male"
1,4,2,"male"
1,4,3,"male"
1,4,5,"male"
1,4,6,"male"
1,4,7,"male"
1,4,10,"male"
1,5,1,"male"
1,5,2,"male"
1,5,6,"male"
1,5,8,"male"
1,5,10,"male"
1,5,11,"male"
1,5,14,"male"
1,5,15,"male"
1,5,16,"male"
1,5,19,"male"
1,5,20,"male"
1,5,21,"male"
1,5,22,"male"
1,5,23,"male"
1,5,27,"male"
1,5,28,"male"
1,5,29,"male"
1,6,1,"male"
1,6,2,"male"
1,6,3,"male"
1,6,4,"male"
1,6,5,"male"
1,6,7,"male"
1,6,8,"male"
1,6,10,"male"
1,6,11,"male"
1,6,12,"male"
1,6,20,"male"
1,6,21,"male"
1,6,22,"male"
1,6,23,"male"
1,6,24,"male"
1,6,26,"male"
1,6,27,"male"
1,6,29,"male"
1,7,3,"male"
1,8,1,"male"
1,8,2,"male"
1,8,3,"male"
1,8,4,"male"
1,8,5,"male"
1,8,6,"male"
1,8,7,"male"
1,8,10,"male"
1,8,11,"male"
1,8,12,"male"
1,8,13,"male"
1,8,14,"male"
1,8,15,"male"
1,8,16,"male"
1,8,17,"male"
1,8,18,"male"
1,8,19,"male"
1,8,20,"male"
1,8,21,"male"
1,8,22,"male"
1,8,23,"male"
1,8,24,"male"
1,8,25,"male"
1,8,26,"male"
1,8,27,"male"
1,8,28,"male"
1,8,29,"male"
1,9,1,"male"
1,9,2,"male"
1,9,3,"male"
1,9,4,"male"
1,9,7,"male"
1,9,8,"male"
1,9,11,"male"
1,9,12,"male"
1,9,14,"male"
1,9,16,"male"
1,9,17,"male"
1,9,18,"male"
1,9,19,"male"
1,9,23,"male"
1,9,24,"male"
1,9,25,"male"
1,9,26,"male"
1,9,28,"male"
1,9,29,"male"
1,10,2,"male"
1,10,5,"male"
1,10,9,"male"
1,10,12,"male"
1,11,1,"male"
1,11,2,"male"
1,11,3,"male"
1,11,4,"male"
1,11,5,"male"
1,11,6,"male"
1,11,7,"male"
1,11,8,"male"
1,11,10,"male"
1,11,12,"male"
1,11,13,"male"
1,11,14,"male"
1,11,15,"male"
1,11,16,"male"
1,11,17,"male"
1,11,18,"male"
1,11,19,"male"
1,11,20,"male"
1,11,21,"male"
1,11,22,"male"
1,11,23,"male"
1,11,24,"male"
1,11,25,"male"
1,11,26,"male"
1,11,27,"male"
1,11,28,"male"
1,11,29,"male"
1,12,1,"female"
1,12,5,"female"
1,12,6,"female"
1,12,8,"female"
1,12,11,"female"
1,12,14,"female"
1,12,16,"female"
1,12,17,"female"
1,12,22,"female"
1,13,14,"female"
1,13,15,"female"
1,13,16,"female"
1,13,17,"female"
1,13,18,"female"
1,13,19,"female"
1,13,20,"female"
1,13,21,"female"
1,13,22,"female"
1,13,23,"female"
1,13,24,"female"
1,13,25,"female"
1,13,26,"female"
1,13,27,"female"
1,13,29,"female"
1,14,2,"female"
1,14,5,"female"
1,14,11,"female"
1,14,15,"female"
1,14,16,"female"
1,14,17,"female"
1,14,19,"female"
1,14,20,"female"
1,14,21,"female"
1,14,22,"female"
1,14,23,"female"
1,14,24,"female"
1,14,26,"female"
1,14,27,"female"
1,15,5,"female"
1,15,14,"female"
1,15,16,"female"
1,15,19,"female"
1,15,20,"female"
1,15,21,"female"
1,15,22,"female"
1,15,23,"female"
1,15,24,"female"
1,15,26,"female"
1,15,27,"female"
1,15,28,"female"
1,15,29,"female"
1,16,1,"female"
1,16,2,"female"
1,16,5,"female"
1,16,10,"female"
