"layerID","from","to","gender.from"
3,1,2,"male"
3,1,5,"male"
3,1,6,"male"
3,1,11,"male"
3,1,12,"male"
3,1,14,"male"
3,1,16,"male"
3,2,5,"male"
3,2,6,"male"
3,2,8,"male"
3,2,10,"male"
3,2,15,"male"
3,2,16,"male"
3,2,21,"male"
3,3,4,"male"
3,3,7,"male"
3,3,11,"male"
3,4,3,"male"
3,5,2,"male"
3,5,6,"male"
3,5,8,"male"
3,5,11,"male"
3,5,15,"male"
3,5,16,"male"
3,5,19,"male"
3,5,21,"male"
3,6,1,"male"
3,6,2,"male"
3,6,3,"male"
3,6,4,"male"
3,6,5,"male"
3,6,8,"male"
3,6,11,"male"
3,6,14,"male"
3,6,15,"male"
3,6,16,"male"
3,6,17,"male"
3,6,19,"male"
3,6,20,"male"
3,6,21,"male"
3,6,22,"male"
3,6,23,"male"
3,6,24,"male"
3,6,26,"male"
3,6,27,"male"
3,6,29,"male"
3,7,3,"male"
3,8,1,"male"
3,8,2,"male"
3,8,3,"male"
3,8,4,"male"
3,8,5,"male"
3,8,6,"male"
3,8,7,"male"
3,8,10,"male"
3,8,11,"male"
3,8,12,"male"
3,8,14,"male"
3,8,16,"male"
3,8,17,"male"
3,8,19,"male"
3,8,20,"male"
3,8,21,"male"
3,8,22,"male"
3,8,23,"male"
3,8,24,"male"
3,9,3,"male"
3,9,8,"male"
3,9,11,"male"
3,9,16,"male"
3,9,23,"male"
3,9,26,"male"
3,10,2,"male"
3,10,5,"male"
3,10,8,"male"
3,10,11,"male"
3,11,1,"male"
3,11,2,"male"
3,11,3,"male"
3,11,4,"male"
3,11,5,"male"
3,11,6,"male"
3,11,7,"male"
3,11,8,"male"
3,11,10,"male"
3,11,12,"male"
3,11,14,"male"
3,11,16,"male"
3,11,20,"male"
3,11,21,"male"
3,11,22,"male"
3,11,23,"male"
3,12,1,"female"
3,12,2,"female"
3,12,3,"female"
3,12,5,"female"
3,12,6,"female"
3,12,11,"female"
3,12,14,"female"
3,12,15,"female"
3,12,16,"female"
3,13,14,"female"
3,13,15,"female"
3,13,16,"female"
3,13,18,"female"
3,13,20,"female"
3,13,21,"female"
3,13,22,"female"
3,13,23,"female"
3,13,24,"female"
3,13,25,"female"
3,14,15,"female"
3,14,16,"female"
3,14,17,"female"
3,14,19,"female"
3,14,20,"female"
3,14,21,"female"
3,14,22,"female"
3,14,23,"female"
3,14,24,"female"
3,14,26,"female"
3,14,27,"female"
3,15,16,"female"
3,15,21,"female"
3,16,14,"female"
3,16,15,"female"
3,16,17,"female"
3,16,20,"female"
3,16,21,"female"
3,16,22,"female"
3,17,24,"female"
3,18,25,"female"
3,19,14,"female"
3,19,15,"female"
3,19,16,"female"
3,19,20,"female"
3,19,21,"female"
3,19,22,"female"
3,19,23,"female"
3,19,24,"female"
3,19,27,"female"
3,19,28,"female"
3,19,29,"female"
3,20,14,"female"
3,20,15,"female"
3,20,16,"female"
3,20,19,"female"
3,20,21,"female"
3,20,22,"female"
3,20,23,"female"
3,20,27,"female"
3,21,14,"female"
3,21,16,"female"
3,21,19,"female"
3,21,20,"female"
3,21,22,"female"
3,21,23,"female"
3,22,14,"female"
3,22,15,"female"
3,22,16,"female"
3,22,19,"female"
3,22,20,"female"
3,22,21,"female"
3,22,23,"female"
3,22,26,"female"
3,22,27,"female"
3,23,14,"female"
3,23,15,"female"
3,23,16,"female"
3,23,19,"female"
3,23,20,"female"
3,23,21,"female"
3,23,22,"female"
3,23,24,"female"
3,24,15,"female"
3,24,16,"female"
3,24,17,"female"
3,24,19,"female"
3,24,26,"female"
3,24,27,"female"
3,24,29,"female"
3,25,18,"female"
3,26,20,"female"
3,26,22,"female"
3,26,27,"female"
3,27,26,"female"
3,28,13,"female"
3,28,15,"female"
3,28,23,"female"
3,28,24,"female"
3,28,26,"female"
3,28,27,"female"
3,28,29,"female"
3,29,13,"female"
3,29,23,"female"
3,29,24,"female"
3,29,27,"female"
3,29,28,"female"
